ID number,Smyrna #,p. #,,City,,,,,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito,Writing Style
SMYD00252,D25.2,253,,Smyrna,,,,,Erotic Images,Drawing of a phallus,((:phallus)),((:phallus)),Carbone
SMYD00253,D25.3,254,,Smyrna,,,,,Erotic Images ,Drawing of a phallus,((:phallus)),((:phallus)),Carbone
SMYD00254,D25.4,255,,Smyrna,,,,,Human Figures,Drawing of a face,((:caput hominis ad sin.)),((:head of person facing left)),Carbone
SMYD00255,D25.5,256,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00256,D25.6,257,,Smyrna,,,,,Human Figures,Drawing of a face,((:caput hominis)),((:head of person)),Carbone
SMYD00257,D25.7,258,,Smyrna,,,,,Gladiator,Drawing of a gladiator,"((:gladiator cum scuto et ferro ad sin., provocator))","((:gladiator with shield and sword facing left, provocator))",Carbone
SMYD00258,D25.8,259,,Smyrna,,,,,Plants ,Drawing of an ivy leaf,((:folium hederae)),((:ivy leaf)),Carbone
SMYD00259,D25.9,260,,Smyrna,,,,,Erotic images,Drawing of a phallus,((:phallus)),((:phallus)),Carbone
SMYD00261,D26.1,261,,Smyrna,,,,,Gladiator,Drawing of a gladiator,"((:gladiator ad dext., secutor))","((:gladiator facing right, secutor))",Carbone
SMYD00262,D26.2,262,,Smyrna,,,,,Erotic images,Drawing of a phallus,((:phallus)),((:phallus)),Carbone
SMYT00271,T27.1,264,,Smyrna,,,,,,,,,Carbone
SMYT00272,T27.2,265,,Smyrna,,,,,,,,,Carbone
SMYT00273,T27.3,267,,Smyrna,,,,,,,,,Carbone
SMYD00271,D27.1,268,,Smyrna,,,,,Boats,Drawing of a boat,((:naves)),((:boats)),Carbone
SMYD00272,D27.2,269,,Smyrna,,,,,Other,Drawing of architecture,((:ianua)),((:doorway)),Carbone
SMYT00281,T28.1,271,,Smyrna,,,,,,,,,Carbone
SMYT00282,T28.2,272,,Smyrna,,,,,,,,,Carbone
SMYT00283,T28.3,273,,Smyrna,,,,,,"Declaration of love, isopsephism",,,Carbone
SMYT00284,T28.4,274,,Smyrna,,,,,,,,,Carbone
SMYD00281,D28.1,275,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00282,D28.2,276,,Smyrna,,,,,Gladiators,Drawing of a gladiator,((:gladiator sine capite ad dext.)),((:headless gladiator facing right)),Carbone
SMYD00283,D28.3,278,,Smyrna,,,,,Gladiators,Drawing of gladiatorial combat,((:certamen gladiatorum)),((:gladiator combat)),Carbone
SMYD00284,D28.4,280,,Smyrna,,,,,Gladiators,Drawing of a gladiator,((:pars gladiatoris)),((:part of a gladiator? scene uncertain)),Carbone
SMYD00285,D28.5 ,282,,Smyrna,,,,,Gladiators,Drawing of gladiatorial combat,((:certamen gladiatorum)),((:gladiator combat)),Carbone
SMYD00286,D28.6,283,,Smyrna,,,,,Gladiators,Drawing of gladiatorial combat,((:certamen gladiatorum)),((:gladiator combat)),Carbone
SMYD00287,D28.7,285,,Smyrna,,,,,Gladiators,Drawing of a gladiator,"((:gladiator cum scuto, provocator))","((:gladiator with shield, provocator))",Carbone
SMYD00288,D28.8,286,,Smyrna,,,,,Human figures,Drawing of spectators,((:figurae hominum)),((:figures of people)),Carbone
SMYT00291,T29.1,290,,Smyrna,,,,,,,,,Carbone
SMYT00292,T29.2,293,,Smyrna,,,,,,,,,Carbone
