EDR entry,CIL#,"a, b, etc.",Langner,City,Regio,Insula # or OutsideWalls or WithinWalls,Main Entrance,Property Name - English,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito,,
EDR167709,8772 (nota),,218,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
EDR167710,8791 (nota),,874,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a gladiator,((:gladiator quasi procumbens)),"Gladiator, lying down?",,
EDR167711,8791 (nota),,1757,Pompeii,II,7,1,Campus ad amph.,Animals,Drawing of a bird,((:avis parva ad sin. folium carpens)),"Small bird facing left, pecking at a leaf",,
EDR167712,,,771,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a gladiator,((:gladiator galea cristata scuto sicaque armatus)),"Gladiator armed with a crested helmet, shield, and sword",,
EDR167713,8792 (nota),a,972,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a gladiator helmet,((:galea gladiatoria cristata)),Crested gladiator helmet,,
EDR167714,"p. 916, senza numero",,468,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput hominis ad sin.)),Head of a person facing left,,
EDR168067,8608 (nota),,711,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a man wearing a toga?,"((:figura hominis vestimentis induta, togati?))","Figure of a person wearing clothes, togate? ",,
EDR168069,"p. 900, s. n.",,1472,Pompeii,II,7,1,Campus ad amph.,Animals,Drawing of a bull?,((:taurus capite cornuto ad d. incedens)),Bull with horns moving to the right,,
EDR168070,8611 (nota),,689,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a person,((:figura hominis)),Human figure,,
EDR168071,8611 (nota),,709,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a person ,"((:figura hominis ad d., induti palliolo))","Figure of a tall man wearing a garment, facing right",,
EDR168073,,,710,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a person? ,((:figura hominis?)) ,Human figure?,,
EDR168077,8611 (nota),,1763,Pompeii,II,7,1,Campus ad amph.,Animals,Drawing of a goose,((:anser stans)),Standing goose,,
EDR168106,,,735,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a person ,((:figura hominis currens ad sin.)),Human figure moving to the left,,
EDR168074,8616 (nota),,217,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput ad sin.)),Head of a person facing left,,
EDR168080,,,2520,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a net?,((:rete?)),Net?,,
EDR168102,8802 (nota),,955,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a sword,((:gladius)),Sword,,
EDR168103,8802 (nota),,,Pompeii,II,7,1,Campus ad amph.,Erotic images,Drawing,((:pars phalli?)),Part of a phallus?,,
EDR168104,8803 (nota),,505,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput ad sin.)),Head of a person facing left,,
EDR168078,8796 (nota),,961,Pompeii,II,7,1,Campus ad amph.,Gladiators,Drawing of a shield,((:parma gladiatoria)),A round gladiator's shield,,
EDR168105,8804,a,414,Pompeii,II,7,1,Campus ad amph.,Human figures,Drawing of a face,((:caput ad sin.)),Head of a person facing left,,
EDR147923,8792,b,24,Pompeii,II,7,1,Campus ad amph,Boats,,((:vela)),Sails,,
EDR128279,8661,,,Pompeii,II,7,1,Campus ad amph,Other,,((:tridens?)),trident?,,
EDR148874,10116 (nota),,959,Pompeii,II,4,6,Praedia of Julia Felix,,,((:scutum)),((:shield)),,
EDR148875,10116 (nota),,1886,Pompeii,II,4,6,Praedia of Julia Felix,,,((:navis cum malo velo et remis)),"((:ship with mast, sail, and oars))",,
EDR148876,10116 (nota),,1904,Pompeii,II,4,6,Praedia of Julia Felix,,,((:navis cum remis maloque)),((:ship with mast and oars)),,
EDR148877,10116 (nota),,1905,Pompeii,II,4,6,Praedia of Julia Felix,,,((:navis cum malo)),((:ship with mast)),,
EDR148878,10116 (nota),,1926,Pompeii,II,4,6,Praedia of Julia Felix,,,((:navis cum remis velis malisque)),"((:ship with oars, masts and sails))",,
EDR148879,10116 (nota),,1961,Pompeii,II,4,6,Praedia of Julia Felix,,,((:navis cum velo)),((:ship with sail)),,
EDR148880,10116 (nota),,1971,Pompeii,II,4,6,Praedia of Julia Felix,,,((:navis cum malo veloque)),((:ship with mast and sail)),,
EDR148881,10116 (nota),,1972,Pompeii,II,4,6,Praedia of Julia Felix,,,((:navis cum malo veloque)),((:ship with mast and sail)),,
EDR127368,8635,,,Pompeii,II,7,1,"Campus ad amphitheatrum, col. LXIII, stria 16",,,((:corona)) ((:palma)),,,
EDR128645,8659,b,43,Pompeii,II,7,1,"Campus ad amphitheatrum, col. LXXI, stria 10",,,"((:circulus circulum continens, tracti cum circino))",,,
EDR147934,10113 (nota),,118,Pompeii,II,3,6,,,,((:circulus flores continens)),,,
EDR147935,10113 (nota),,119,Pompeii,II,3,6,,,,((:circulus flores continens)),,,
EDR147936,10113 (nota),,120,Pompeii,II,3,6,,,,((:circulus flores continens)),,,
EDR148418,10116 (nota),,162,Pompeii,II,4,6,Praedia of Julia Felix,,,((:stella)),,,
EDR148875,10116 (nota),,1886,Pompeii,II,4,6,Praedia of Julia Felix,,,((:navis cum malo velo et remis)) ,"((:ship with mast, sail and oars))",,
EDR148876,10116 (nota),,1904,Pompeii,II,4,6,Praedia of Julia Felix,,,((:navis cum remis maloque)),((:ship with mast and oars)),,
EDR148877,10116 (nota),,1905,Pompeii,II,4,6,Praedia of Julia Felix,,,((:ship with mast)),((:navis cum malo)),,
EDR148878,10116 (nota),,1926,Pompeii,II,4,6,Praedia of Julia Felix,,,((:navis cum remis velis malisque)),"((:ship with oars, masts and sails))",,
EDR148879,10116 (nota),,1961,Pompeii,II,4,6,Praedia of Julia Felix,,,((:navis cum velo)),((:ship with sail)),,
EDR148882,10116 (nota),,1994,Pompeii,II,4,6,Praedia of Julia Felix,,,((:navis)),,,
EDR149044,8501,b,,Pompeii,II,4,,Praedia of Julia Felix,,,((:phallus)),,,
EDR149061,10129,,,Pompeii,II,4,6,Praedia of Julia Felix,,,((:phallus ad sin. versus)),,,
EDR149064,10132,,,Pompeii,II,4,6,Praedia of Julia Felix,,,((:phallus ad sin. versus)),,,
EDR180212,8486,a,,Pompeii,II,2,2,Casa di D. Octavius Quartio/Casa di Loreius,,,((:phallus)),,,
EDR180331,8496,b,,Pompeii,II,3,3,Casa della Venere in conchiglia,,,((:Initio littera C abit in longam palmam)),,,
EDR127194,8574 (nota),DOESNT SEEM TO EXIST,872,Pompeii,II,7,,,Gladiators ,Drawing of a gladiator,((:gladiator ad d. armatus)),Armed gladiator facing right,,
EDR147874,---,,57,,III,5,,,,,((:circulus fortasse rota)),((:perhaps a circular wheel)),,
EDR168484,4075,,,,,,,,"Human figures, Animals",Drawing of faces and animals,"Animal, tria hominum capita, cervus","Animal, heads of three people, and a deer",,
EDR163402,4025,,,,V,1,,,Other,drawing of a crown and palm branch,((:corona)) A P ((:palma)),((:crown)) ((:palm branch)),,
EDR163899,4060,,,,V,1,18,,Animals,Drawing of an animal,"Mim̂us̲
BCN
bineis
((:animal))","Mimus
BCN
do you drink
((:animal))",,
EDR151700,4138,,690,,V,2,15,,,,"((:hominis figura))
Εισιτυχη σωζουσα",,,
EDR147884,---,,77,,V,5,3,Caserma di Gladiatori,,,((:circulus circino tractus et florem continens)),,,
