EDR#,CIL#,"a, b, c, d or Varone #",Langner #,Insula,Text of Inscription,Caption for graffito,Translation,,AGP = Update of CIL?,Contributors,,Commentary 
EDR145771,10561 (nota),,734,4,((:figura virilis)),Drawing of a man,,,,,,
EDR143900,10561 (nota),,909,4,"((:gladiator, murmillo cum galea et scuto))",Drawing of a gladiator ,,,,,,Drawing of a murmillo with his helmet and shield.
EDR144352,10561 (nota),,2322,4,((:basis columnae)),Drawing of a column base,,,,,,This column base is located near 5 other similar column bases.
EDR145005,10561 (nota),,1109,4,((:cervus)),Drawing of a stag,,,,,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags""."
EDR145006,10561 (nota),,1110,4,((:cervus)),Drawing of a stag,,,,,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags""."
EDR145008,10561 (nota),,1125,4,((:cervus a viro laqueo captus et a cane assultatus)),Drawing of a stag,,,,,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags""."
EDR145009,10561 (nota),,1310,4,((:vir cervum equitans)),Drawing of a stag and a man,,,,,,"The drawings of deer give the house its name, ""The House of the Stags"". This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). This drawing is different than the rest because a man appears to be riding the deer."
EDR144353,10561 (nota),,2323,4,((:basis columnae)),Drawing of a column base,,,,,,This column base is located near 5 other similar column bases.
EDR144350,10561 (nota),,2321,4,((:basis columnae)),Drawing of a column base,,,,,,This column base is located near 5 other similar column bases.
EDR145764  ,10561 (nota),,1509,4,((:cervus)),Drawing of a stag,,,,,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags""."
EDR145765,10561 (nota),,1510,4,((:cervus)),Drawing of a stag,,,,,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags""."
EDR145766,10561 (nota),,1511,4,((:cervus)),Drawing of a stag,,,,,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags""."
EDR145767,10561 (nota),,1595,4,((:animal)),Drawing of an animal,,,,,,"Martin Langer calls this a ""Vierbeiner"", or ""four-legged friend"", as the animal is unidentified."
EDR145768,10561 (nota),,1596,4,((:animal)),Drawing of an animal,,,,,,"Martin Langer calls this a ""Vierbeiner"", or ""four-legged friend"", as the animal is unidentified."
EDR144347,10561 (nota),,2318,4,((:basis columnae cum parte columnae ornamentae et fortasse scalae)),Drawing of a column base,,,,,,This column base is located near 5 other similar column bases. This one is unique compared to the other bases because it is more decorated.
EDR145007 ,10561 (nota),,1124,4,((:cervus a viro laqueo captus)),Drawing of a stag,,,,,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags""."
EDR140135,10562,,,5,hic amor sapiet,Statement about love ,Here love will be wise,,,,,"""Sapio, sapere"" has many different connotations. Is love wise? Discreet? Does love have good taste?"
EDR140124  ,10563,a,,5,quis d,Graffito,Who...,,,,,"This interrogative pronoun is located near another one, CIL IV.10563b."
EDR140125,10563,b,,5,quid,Graffito,What,,,,,"This interrogative pronoun is located near another one, CIL IV.10563a."
EDR140129,10563,c,,5,MAL,Initials (?),M(arcus) A(---) L(---?),,,,,
EDR140146,10563,d,,5,SA,Beginning of a word,SA,,,,,
EDR140132,10564,,,5,Mam(ius),Beginning of a name (?),Mam(ius?),,,,,
EDR151867,10565,,,5,Vinum acceptum / ab domino VII Idus Apriles,Statement about a transaction ,Wine (was) received from the master seven days before the Ides of April.,,,,,Describes the transaction of wine and the date on which it happened.
EDR151868,10566,,,5,"<:columna I〉Aquaria dua cum basis / Aqua(ria?) in manus dua cum basis / Hamas duas cum basis / Aqua(rium?) in manu cotidianu I / cum basis / Urciolos duos / Candelabra quatuor / et lucubratoriu(m) unum / Lucerna(m) aenea(m) / Hamula(m) una(m) / Pelvi(s) cum basim / et lytrum / Gutos tres / Scapheola dua / Ferreas strig(i)les VII / Haenas quattor

〈:columna II〉Marmor(em) cum basim / aenea / Fuminaria dua",Inventory ,"Column I: Two water jugs with bases, two (hand-sized?) water jugs with bases, two water buckets with bases, a (hand-sized?) water jug with a base for everyday use, two little pitchers, four lamp-stands, one night lamp, a bronze lamp, one small water bucket, a basin with a base, and a hand basin, three flasks, two small drinking vessels, seven iron strigils, four bronze (objects?). // Column II: marble with a base, two bronze fire-pokers(?)",,,,,"List of various jugs, liquid vessels, and other instruments. Is right below CIL IV.10565 which describes a transaction of wine."
