term,lemmatized
iixxxxx[+1+]xxxxxxxxxxxxi,iixxxxx[++]xxxxxxxxxxxxi
phoebus,phoebus
bonus,bonus
fututor,fututor
hinc,hinc
pedibus,pes
detractis,detraho
ἀλέξανδrος,ἀλέξανδrος
ἡγεῖνος,ἡγεῖνος
εἶπεν,εἶπον
τὸν,ὁ
ὀφθαλμὸν,ὀφθαλμός
ἐν,ἐν
τάχει,τάχος
ἐθαραπεύθην,ἐθαραπεύθην
russa,russus
cypare,cyparis
pelias,pelias
alcestis,alcestis
nicedius,nicedius
-,punc
-,punc
-,punc
-,punc
-,punc
-,punc
viriotal,viriotal
amonius,amonius
servilius,servilis
sequanus,sequanus
sedulatus,sedulatus
((:duo,((:duo
ornamenta,ornamentum
scuti)),scuti))
viriod,viriod
+tofag,+tofag
+narto,+narto
&#60;:columna,&#60;:columna
2&#62;,&#6;
sextius,sextus
((:medusae?,((:medusae?
caput,caput
prospiciens)),prospiciens))
sabina,sabina
ampliatus,amplio
〚+++〛,〚+++〛
or,or
bene,bene
valeas,valeo
qui,qui
futues,futuo
((:equus,((:equus
ad,ad
sin)),sin))
clavos,clavus
ἔρως,ἔρως
&#60;:ad,&#60;:ad
perpendiculum&#62;,perpendiculum&#6;
o---,o
mucius,mucius
prim[-,prim[
-,punc
-]ac,]ac
[-,[
-,punc
-]ecis,]ecis
((:duo,((:duo
pisces,piscis
ad,ad
sin,sin
conversi)),conversi))
+n+dvs,+n+dvs
pdicap[-]+,pdicap[]+
vetr++,vetr++
paganis,paganus
maledixi,maledixi
testifico,testifico
vade,vado
age,ago
nate,natus
vocas,voco
zephyros,zephyros
venientis,venio
[-,[
-,punc
-]sf[-,]sf[
-,punc
-],]
bellissimus,bellus
((:lineae,((:lineae
variae,varia
phallus?,phallus?
vela?)),vela?))
tm,tm
aybvctdsiirnqcphoinkml,aybvctdsiirnqcphoinkml
arva,arvum
vadavo,vadavo
s²ms¹rm,s²ms¹rm
extersi,extersi
acastus,acastus
pedico,pedico
((:facies)),((:facies))
fututa,futuo
sum,sum
stano,stano
sis,sum
gemma,gemma
[-,[
-,punc
-]mor[-,]mor[
-,punc
-],]
iulium,iulius
ι---,ι
ias,ias
magno,magnus
((:figurae,((:figurae
duorum,duo
gladiatorum,gladiator
alter,alter
retiarius,retiarius
est,sum
cum,cum
fuscina;,fuscina;
alter,alter
cum,cum
hasta,hasta
et,et
fortasse,fortasse
cum,cum
fuscina,fuscina
armatus,armo
est)),est))
ʾnʿm,ʾnʿm
bn,b
kz,kz
ampliandam,ampliandam
veneriam,veneriam
rogamus,rogo
nos,nos
mente,mens
habeas,habeo
interrogamus,interrogo
mansi,maneo
solus,solus
ex,ex
senatus,senatus
consulto,consultum
ἑρμῆς,ἑρμῆς
ver,ver
placidus,placidus
quem,qui
voluit,volo
((:animal,((:animal
ad,ad
sin)),sin))
cineδus,cineδus
(:cinaedus),(:cinaedus)
((:taurus)),((:taurus))
dasius,dasius
------,
ceacli,ceacli
valer,valer
secun,secus
amon,amo
sitio,sitio
[-,[
-,punc
-],]
scava,scava
hispanus,hispanus
iutto,iutto
((:caput,((:caput
feminae)),feminae))
attine,attine
myrtale,myrtal
cassacos,cassacos
fellas,fello
((:gladiator,((:gladiator
ad,ad
dex,dex
eques)),eques))
((:tres,((:tres
circuli,circulus
cum,cum
linea)),linea))
iuvari,iuvaris
ἀναγεινώσκων,ἀναγεινώσκων
αμπης,αμπης
+ως,+ως
ἡ,ὁ
κλεῖϲ,κλεῖϲ
τῆϲ,τῆϲ
ἄρκλαϲ,ἄρκλαϲ
οἱ,ὁ
ante,ante
diem,dies
geryones,geryones
trimembres,trimembres
senos,seni
comperendinaverunt,comperendinaverunt
((:venatio))),((:venatio)))
((:circulus,((:circulus
circino,circino
tractus,traho
et,et
circulos,circulus
floresque,floreo
continens)),continens))
((:folium,((:folium
hederae)),hederae))
+εχαλ,+εχαλ
eros,erus
psyche,psyche
((:nomen,((:nomen
psyche,psyche
in,in
medio,medium
corde)),corde))
auctilius,auctilius
atilio,atilio
casellio,casellio
infelicia,infelicia
ὀφθαλμῶι,ὀφθαλμός
auli,aulis
iuni,iuni
epagathus,epagathus
((:centuria?)),((:centuria?))
valentinae,valentinae
pacatus,pacatus
pompeianis,pompeianus
paeoniam,paeonia
((:figura,((:figura
hominis,homo
ad,ad
sin)),sin))
callistus,callistus
rufi,rufus
antonius,antonius
rustio,rustio
castrensis,castrensis
λιαβιχτλ,λιαβιχτλ
procame,procame
vivanius,vivanius
ater,ater
apriculus,apriculus
κέλϲα,κέλϲα
lucii,lucius
liberta,libertus
〚xix〛,〚xix〛
((:denarius?)),((:denarius?))
ανακας,ανακας
α,ἐπέλπομαι
πρης,πρης
λυω,λυω
καρπο[---],καρπο[]
[---]ιοις,[]ιοις
αβγδ,αβγδ
veteri,vetus
memor,memor
((:venatio)),((:venatio))
πυγίζομαι,πυγίζομαι
lusor,lusor
κίνναμοϲ,κίνναμοϲ
curatores,curator
nuelas,nuelas
barnaee,barnaee
ne,ne
essetis,edo
viri,vir
boni,bonus
commeatum,commeatus
ogintitrai[+1+]++,ogintitrai[++]++
tempus,tempus
daretis,do
nam,nam
semper,semper
negatis,nego
pan,pan
tibi,tu
[+2+]deco,[++]deco
nunc,nunc
qv[+1+]mne,qv[++]mne
num,num
+,punc
viator,viator
((:phallus?)),((:phallus?))
amas,amo
