"EDR128585","128585","70837",,"447","353","96x96",,,"Amy NIZOLEK","2018-05-30","Graffito of head","NorthWest","black","M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung, und Bedeutung. Weisbaden 2001, n. 457 (Büste)","693"
"EDR128585","128585-1","84502",,"3368","2380","72x72",,"foto moderna","Gracie SINGLETON","2021-12-10","Graffito di disegno","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128585","128585-2","84503",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-10","Graffito di disegno","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128585","128585-3","84504",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-11","Graffito di disegno","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128585","128585-4","84505",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-11","Graffito di disegno","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128051","128051","54399",,"251","299","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08675a","696"
"EDR128060","128060-1","54375",,"291","174","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08601","696"
"EDR128117","128117","54385",,"340","364","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08626c","696"
"EDR127405","127405","54156",,"492","251","150x150",,"disegno ricostruttivo","Emily CRAWFORD","2015-08-10","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08562 ","696"
"EDR128290","128290","54152",,"223","275","150x150",,"disegno ricostruttivo","Emily CRAWFORD","2015-08-10","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08561b","696"
"EDR128733","128733","54400",,"490","699","150x150",,"disegno ricostruttivo","Emily CRAWFORD","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08565b","696"
"EDR128734","128734-1","54403",,"516","861","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08566b","696"
"EDR128734","128734","54402",,"495","884","150x150",,"disegno ricostruttivo","Emily CRAWFORD","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08566b","696"
"EDR127847","127847-1","54167",,"451","631","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-10","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08573","696"
"EDR127971","127971-1","54369",,"367","137","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08588","696"
"EDR127973","127973-1","54367",,"346","158","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08586a","696"
"EDR128278","128278","54397",,"145","407","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08656b","696"
"EDR128278","128278-1","84634",,"3368","2380","72x72",,"foto moderna","Gracie SINGLETON","2021-12-25","Graffito","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR128278","128278-2","84635",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-25","Graffito","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR128278","128278-3","84636",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-25","Graffito","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR128278","128278-4","84637",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-25","Graffito","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR128642","128642","84697",,"3368","2380","72x72",,"foto moderna","Gracie SINGLETON","2021-12-27","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128642","128642-1","84698",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128642","128642-2","84699",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128642","128642-3","84700",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR127420","127420-1","54364",,"248","276","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08580b","696"
